descricao,tipo_linha,contad_ocai,ano_mes,previsto,realizado
Receita de vendas serviços,,,01,,69424.62
Receita de vendas serviços,,,02,,65029.33
Receita de vendas serviços,,,03,,1440.0
Receita de vendas serviços,,,05,,12835.5
Receita de vendas serviços,,,08,,14387.0
receita de vendas peças e serv.,,,03,,122046.63
receita de vendas peças e serv.,,,05,,155447.69
receita de vendas peças e serv.,,,06,,66469.9
receita de vendas peças e serv.,,,07,,94755.76
receita de vendas peças e serv.,,,08,,281383.5
receita de vendas peças e serv.,,,09,,65050.0
Receita de peças,,,01,,183063.8
Receita de peças,,,02,,111733.23
Receita de peças,,,03,,36307.0
Receita de peças,,,05,,42295.5
Receita de peças,,,06,,103981.0
Receita de peças,,,07,,102871.0
Receita de peças,,,08,,111224.45
Receita de peças,,,09,,103963.0
venda peças-romaneio,,,08,,53568.57
venda peças-romaneio,,,09,,33267.5
mão de obra-romaneio,,,08,,1800.0
mão de obra-romaneio,,,09,,3088.0
peças e serv- romaneio,,,03,,78325.2
peças e serv- romaneio,,,05,,64305.5
peças e serv- romaneio,,,06,,495332.3
peças e serv- romaneio,,,07,,253646.0
peças e serv- romaneio,,,08,,113808.0
peças e serv- romaneio,,,09,,61071.5
retroativo,,,07,,39675.0
retroativo,,,08,,247761.65
Fornec diversos com nota,,,02,,163012.49
Fornec diversos com nota,,,03,,112371.23
Fornec diversos com nota,,,05,,108109.1
Fornec diversos com nota,,,06,,282407.95
Fornec diversos com nota,,,07,,141027.37
Fornec diversos com nota,,,08,,207321.94
Fornec diversos com nota,,,09,,244438.79
fornecedor sem nota,,,01,,60299.0
fornecedor sem nota,,,02,,37700.0
fornecedor sem nota,,,03,,43490.0
fornecedor sem nota,,,05,,13026.0
fornecedor sem nota,,,06,,44614.0
fornecedor sem nota,,,07,,51099.0
fornecedor sem nota,,,08,,43557.0
fornecedor sem nota,,,09,,60718.1
ferramental oficina,,,07,,2754.07
ferramental oficina,,,08,,368.81
ferramental oficina,,,09,,200.1
Uniforme,,,05,,520.0
Uniforme,,,06,,520.0
Fretes - fora da NF de Fornec.,,,01,,1446.17
Fretes - fora da NF de Fornec.,,,02,,2099.68
Fretes - fora da NF de Fornec.,,,07,,259.02
Fretes - fora da NF de Fornec.,,,08,,792.88
Fretes - fora da NF de Fornec.,,,09,,1655.86
Estopas uso prestação serviço,,,02,,300.0
Estopas uso prestação serviço,,,05,,300.0
Estopas uso prestação serviço,,,06,,300.0
Estopas uso prestação serviço,,,07,,700.0
Estopas uso prestação serviço,,,09,,400.0
Estopas uso prestação serviço,,,10,,400.0
"Cortesia, Brindes a clientes",,,01,,170.0
Percentual em relação as compras de fornecedores c/ Faturamento total,,,01,,0.2445465419760637
Percentual em relação as compras de fornecedores c/ Faturamento total,,,02,,1.1490678229597941
Percentual em relação as compras de fornecedores c/ Faturamento total,,,03,,0.6545523090299074
Percentual em relação as compras de fornecedores c/ Faturamento total,,,05,,0.44365992820467415
Percentual em relação as compras de fornecedores c/ Faturamento total,,,06,,0.49241547398612645
Percentual em relação as compras de fornecedores c/ Faturamento total,,,07,,0.3989008117686493
Percentual em relação as compras de fornecedores c/ Faturamento total,,,08,,0.4374402782004914
Percentual em relação as compras de fornecedores c/ Faturamento total,,,09,,1.1537788995646299
água,,,01,,40.94
água,,,02,,39.55
água,,,03,,39.55
água,,,05,,39.55
água,,,06,,39.55
água,,,07,,119.88
água,,,08,,145.32
água,,,09,,103.14
lanches/refeições,,,01,,125.5
lanches/refeições,,,02,,152.5
lanches/refeições,,,03,,237.5
lanches/refeições,,,05,,939.21
lanches/refeições,,,06,,763.01
lanches/refeições,,,07,,421.13
lanches/refeições,,,08,,439.01
lanches/refeições,,,09,,625.84
aluguel,,,01,,3200.0
aluguel,,,02,,3200.0
aluguel,,,03,,3200.0
aluguel,,,05,,3200.0
aluguel,,,06,,3200.0
aluguel,,,07,,3200.0
aluguel,,,08,,3200.0
aluguel,,,09,,3400.0
aluguel,,,10,,3400.0
Energia,,,01,,664.96
Energia,,,02,,789.13
Energia,,,03,,804.81
Energia,,,05,,804.81
Energia,,,06,,814.48
Energia,,,07,,900.85
Energia,,,08,,810.0
Salários,,,01,,11481.4
Salários,,,02,,8560.96
Salários,,,03,,7600.42
Salários,,,05,,9943.34
Salários,,,06,,10733.45
Salários,,,07,,8841.66
Salários,,,08,,8841.66
Salários,,,09,,8841.66
Comissões vendedor,,,02,,150.0
FGTS,,,01,,530.16
FGTS,,,02,,658.16
FGTS,,,03,,658.16
FGTS,,,05,,658.16
FGTS,,,06,,1285.58
FGTS,,,07,,767.28
FGTS,,,09,,767.28
Vale alimentação funcionarios,,,03,,600.0
Vale alimentação funcionarios,,,05,,1300.0
Vale alimentação funcionarios,,,06,,1500.0
