descricao,contad_ocai,score
Receita de vendas serviços,,0
Receita de vendas serviços,,0
Receita de vendas serviços,,0
Receita de vendas serviços,,0
Receita de vendas serviços,,0
receita de vendas peças e serv.,,0
receita de vendas peças e serv.,,0
receita de vendas peças e serv.,,0
receita de vendas peças e serv.,,0
receita de vendas peças e serv.,,0
receita de vendas peças e serv.,,0
Receita de peças,,0
Receita de peças,,0
Receita de peças,,0
Receita de peças,,0
Receita de peças,,0
Receita de peças,,0
Receita de peças,,0
Receita de peças,,0
venda peças-romaneio,,0
venda peças-romaneio,,0
mão de obra-romaneio,,0
mão de obra-romaneio,,0
peças e serv- romaneio,,0
peças e serv- romaneio,,0
peças e serv- romaneio,,0
peças e serv- romaneio,,0
peças e serv- romaneio,,0
peças e serv- romaneio,,0
retroativo,,0
retroativo,,0
Fornec diversos com nota,,0
Fornec diversos com nota,,0
Fornec diversos com nota,,0
Fornec diversos com nota,,0
Fornec diversos com nota,,0
Fornec diversos com nota,,0
Fornec diversos com nota,,0
fornecedor sem nota,,0
fornecedor sem nota,,0
fornecedor sem nota,,0
fornecedor sem nota,,0
fornecedor sem nota,,0
fornecedor sem nota,,0
fornecedor sem nota,,0
fornecedor sem nota,,0
ferramental oficina,,0
ferramental oficina,,0
ferramental oficina,,0
Uniforme,,0
Uniforme,,0
Fretes - fora da NF de Fornec.,,0
Fretes - fora da NF de Fornec.,,0
Fretes - fora da NF de Fornec.,,0
Fretes - fora da NF de Fornec.,,0
Fretes - fora da NF de Fornec.,,0
Estopas uso prestação serviço,,0
Estopas uso prestação serviço,,0
Estopas uso prestação serviço,,0
Estopas uso prestação serviço,,0
Estopas uso prestação serviço,,0
Estopas uso prestação serviço,,0
"Cortesia, Brindes a clientes",,0
Percentual em relação as compras de fornecedores c/ Faturamento total,,0
Percentual em relação as compras de fornecedores c/ Faturamento total,,0
Percentual em relação as compras de fornecedores c/ Faturamento total,,0
Percentual em relação as compras de fornecedores c/ Faturamento total,,0
Percentual em relação as compras de fornecedores c/ Faturamento total,,0
Percentual em relação as compras de fornecedores c/ Faturamento total,,0
Percentual em relação as compras de fornecedores c/ Faturamento total,,0
Percentual em relação as compras de fornecedores c/ Faturamento total,,0
água,,0
água,,0
água,,0
água,,0
água,,0
água,,0
água,,0
água,,0
lanches/refeições,,0
lanches/refeições,,0
lanches/refeições,,0
lanches/refeições,,0
lanches/refeições,,0
lanches/refeições,,0
lanches/refeições,,0
lanches/refeições,,0
aluguel,,0
aluguel,,0
aluguel,,0
aluguel,,0
aluguel,,0
aluguel,,0
aluguel,,0
aluguel,,0
aluguel,,0
Energia,,0
Energia,,0
Energia,,0
Energia,,0
Energia,,0
Energia,,0
Energia,,0
Salários,,0
Salários,,0
Salários,,0
Salários,,0
Salários,,0
Salários,,0
Salários,,0
Salários,,0
Comissões vendedor,,0
FGTS,0004111090005,1
FGTS,0004111090005,1
FGTS,0004111090005,1
FGTS,0004111090005,1
FGTS,0004111090005,1
FGTS,0004111090005,1
FGTS,0004111090005,1
Vale alimentação funcionarios,,0
Vale alimentação funcionarios,,0
Vale alimentação funcionarios,,0
Vale alimentação funcionarios,,0
Vale alimentação funcionarios,,0
Vale alimentação funcionarios,,0
Unimed Sócios,,0
Unimed Sócios,,0
Unimed Sócios,,0
Unimed Sócios,,0
Unimed Sócios,,0
Unimed Sócios,,0
Unimed Sócios,,0
Unimed Sócios,,0
Unimed Sócios,,0
Plano Odonto - Amil Dental,,0
Plano Odonto - Amil Dental,,0
Plano Odonto - Amil Dental,,0
Plano Odonto - Amil Dental,,0
Plano Odonto - Amil Dental,,0
Plano Odonto - Amil Dental,,0
Plano Odonto - Amil Dental,,0
Plano Odonto - Amil Dental,,0
Plano Odonto - Amil Dental,,0
Diarista,,0
Diarista,,0
Diarista,,0
Diarista,,0
Diarista,,0
Diarista,,0
Diarista,,0
Diarista,,0
Gratificação Funcionários,,0
Gratificação Funcionários,,0
Gratificação Funcionários,,0
Gratificação Funcionários,,0
Gratificação Funcionários,,0
Gratificação Funcionários,,0
Gratificação Funcionários,,0
doação,,0
doação,,0
doação,,0
doação,,0
doação,,0
doação,,0
doação,,0
Confraternização,,0
Confraternização,,0
Confraternização,,0
Confraternização,,0
Confraternização,,0
Confraternização,,0
Confraternização,,0
DAS Simples Nacional,0004111050003,1
DAS Simples Nacional,0004111050003,1
DAS Simples Nacional,0004111050003,1
DAS Simples Nacional,0004111050003,1
DAS Simples Nacional,0004111050003,1
DAS Simples Nacional,0004111050003,1
DAS Simples Nacional,0004111050003,1
DAS Simples Nacional,0004111050003,1
Parcelamento Simples,,0
Parcelamento Simples,,0
Parcelamento Simples,,0
Parcelamento Simples,,0
Parcelamento Simples,,0
Parcelamento Simples,,0
Parcelamento Simples,,0
DARE - Estadual,0004111040009,1
DARE - Estadual,0004111040009,1
DARE - Estadual,0004111040009,1
DARE - Estadual,0004111040009,1
DARE - Estadual,0004111040009,1
DARE - Estadual,0004111040009,1
DARE - Estadual,0004111040009,1
DARE - Estadual,0004111040009,1
DARF DCTF WEB,,0
DARF DCTF WEB,,0
DARF DCTF WEB,,0
DARF DCTF WEB,,0
DARF DCTF WEB,,0
DARF DCTF WEB,,0
DARF DCTF WEB,,0
DARF DCTF WEB,,0
Material de uso e consumo,,0
Material de uso e consumo,,0
Material de uso e consumo,,0
Material de uso e consumo,,0
Material de uso e consumo,,0
Material de uso e consumo,,0
Material de uso e consumo,,0
Material de uso e consumo,,0
Material de expediente,,0
Material de expediente,,0
Material de expediente,,0
Material de expediente,,0
Material de expediente,,0
Material de expediente,,0
Material de expediente,,0
Despesas com viagens,,0
Despesas com viagens,,0
Despesas com viagens,,0
Despesas com viagens,,0
Despesas com viagens,,0
Despesas com viagens,,0
Despesas com viagens,,0
Despesas com viagens,,0
Consultoria,,0
Consultoria,,0
Consultoria,,0
Consultoria,,0
Consultoria,,0
Consultoria,,0
Consultoria,,0
Consultoria,,0
CDL Associação comercial,0004111080011,1
CDL Associação comercial,0004111080011,1
CDL Associação comercial,0004111080011,1
CDL Associação comercial,0004111080011,1
CDL Associação comercial,0004111080011,1
CDL Associação comercial,0004111080011,1
CDL Associação comercial,0004111080011,1
CDL Associação comercial,0004111080011,1
Telefone,,0
Telefone,,0
Telefone,,0
Telefone,,0
Telefone,,0
Telefone,,0
Telefone,,0
Telefone,,0
Internet,,0
Internet,,0
Internet,,0
Internet,,0
Internet,,0
Internet,,0
Internet,,0
Internet,,0
Pró-labore Retirada - Leandro,,0
Pró-labore Retirada - Leandro,,0
Pró-labore Retirada - Leandro,,0
Pró-labore Retirada - Leandro,,0
Pró-labore Retirada - Leandro,,0
Pró-labore Retirada - Leandro,,0
Pró-labore Retirada - Leandro,,0
Pró-labore Retirada - Leandro,,0
Pró-labore Retirada - Sergio,,0
Pró-labore Retirada - Sergio,,0
Pró-labore Retirada - Sergio,,0
Pró-labore Retirada - Sergio,,0
Pró-labore Retirada - Sergio,,0
Pró-labore Retirada - Sergio,,0
Pró-labore Retirada - Sergio,,0
Pró-labore Retirada - Sergio,,0
Honorários contabeis,,0
Honorários contabeis,,0
Honorários contabeis,,0
Honorários contabeis,,0
Honorários contabeis,,0
Honorários contabeis,,0
Honorários contabeis,,0
Honorários contabeis,,0
Comunicação interna,,0
Comunicação interna,,0
Comunicação interna,,0
Comunicação interna,,0
Comunicação interna,,0
Certificado digital,,0
Certificado digital,,0
Certificado digital,,0
Certificado digital,,0
Certificado digital,,0
Certificado digital,,0
Certificado digital,,0
Serviço de Licença Software,,0
Serviço de Licença Software,,0
Serviço de Licença Software,,0
Serviço de Licença Software,,0
Serviço de Licença Software,,0
Serviço de Licença Software,,0
Serviço de Licença Software,,0
Serviço de Licença Software,,0
Seguro de vida - Colaboradores,,0
Seguro de vida - Colaboradores,,0
Seguro de vida - Colaboradores,,0
Seguro de vida - Colaboradores,,0
Seguro de vida - Colaboradores,,0
Seguro de vida - Colaboradores,,0
Seguro de vida - Colaboradores,,0
Seguro de vida - Colaboradores,,0
seguro carro RSV5E43,0004111030009,1
seguro carro RSV5E43,0004111030009,1
seguro carro RSV5E43,0004111030009,1
Desp Financeiras/bancos,,0
Desp Financeiras/bancos,,0
Desp Financeiras/bancos,,0
Desp Financeiras/bancos,,0
Desp Financeiras/bancos,,0
Desp Financeiras/bancos,,0
Desp Financeiras/bancos,,0
Desp Financeiras/bancos,,0
Desp liq boletos/cartão,,0
Desp liq boletos/cartão,,0
Desp liq boletos/cartão,,0
Desp liq boletos/cartão,,0
Financiamento/emprestimo bco parc,,0
Financiamento/emprestimo bco parc,,0
Financiamento/emprestimo bco parc,,0
Financiamento/emprestimo bco parc,,0
Financiamento/emprestimo bco parc,,0
Financiamento/emprestimo bco parc,,0
Financiamento/emprestimo bco parc,,0
Financiamento/emprestimo bco parc,,0
Finan. Carro RSV5E43,0004111030009,1
Finan. Carro RSV5E43,0004111030009,1
juros FINAN RSV5E43,0004111030009,2
juros FINAN RSV5E43,0004111030009,2
IPVA txas diversas RSW1E87,0004111030010,1
IPVA e taxas diversas RSV5E43,0004111030009,1
FINAN. Carro RSW1E87,0004111030010,2
FINAN. Carro RSW1E87,0004111030010,2
FINAN. Carro RSW1E87,0004111030010,2
FINAN. Carro RSW1E87,0004111030010,2
FINAN. Carro RSW1E87,0004111030010,2
FINAN. Carro RSW1E87,0004111030010,2
FINAN. Carro RSW1E87,0004111030010,2
Combustivel,,0
Combustivel,,0
Combustivel,,0
Combustivel,,0
Impressos/Grafica,,0
Impressos/Grafica,,0
Coleta Resíduos,,0
Coleta Resíduos,,0
Coleta Resíduos,,0
Coleta Resíduos,,0
Coleta Resíduos,,0
Coleta Resíduos,,0
Coleta Resíduos,,0
Coleta Resíduos,,0
Coleta Resíduos,,0
Férias,,0
Alvará,,0
