descricao,contad_ocai,confidence,matched
Receita de vendas serviços,,0.0,
Receita de vendas serviços,,0.0,
Receita de vendas serviços,,0.0,
Receita de vendas serviços,,0.0,
Receita de vendas serviços,,0.0,
receita de vendas peças e serv.,,0.0,
receita de vendas peças e serv.,,0.0,
receita de vendas peças e serv.,,0.0,
receita de vendas peças e serv.,,0.0,
receita de vendas peças e serv.,,0.0,
receita de vendas peças e serv.,,0.0,
Receita de peças,,0.0,
Receita de peças,,0.0,
Receita de peças,,0.0,
Receita de peças,,0.0,
Receita de peças,,0.0,
Receita de peças,,0.0,
Receita de peças,,0.0,
Receita de peças,,0.0,
venda peças-romaneio,,0.0,
venda peças-romaneio,,0.0,
mão de obra-romaneio,,0.0,
mão de obra-romaneio,,0.0,
peças e serv- romaneio,,0.0,
peças e serv- romaneio,,0.0,
peças e serv- romaneio,,0.0,
peças e serv- romaneio,,0.0,
peças e serv- romaneio,,0.0,
peças e serv- romaneio,,0.0,
retroativo,,0.0,
retroativo,,0.0,
Fornec diversos com nota,,0.0,
Fornec diversos com nota,,0.0,
Fornec diversos com nota,,0.0,
Fornec diversos com nota,,0.0,
Fornec diversos com nota,,0.0,
Fornec diversos com nota,,0.0,
Fornec diversos com nota,,0.0,
fornecedor sem nota,,0.0,
fornecedor sem nota,,0.0,
fornecedor sem nota,,0.0,
fornecedor sem nota,,0.0,
fornecedor sem nota,,0.0,
fornecedor sem nota,,0.0,
fornecedor sem nota,,0.0,
fornecedor sem nota,,0.0,
ferramental oficina,,0.0,
ferramental oficina,,0.0,
ferramental oficina,,0.0,
Uniforme,,0.0,
Uniforme,,0.0,
Fretes - fora da NF de Fornec.,,0.0,
Fretes - fora da NF de Fornec.,,0.0,
Fretes - fora da NF de Fornec.,,0.0,
Fretes - fora da NF de Fornec.,,0.0,
Fretes - fora da NF de Fornec.,,0.0,
Estopas uso prestação serviço,,0.0,
Estopas uso prestação serviço,,0.0,
Estopas uso prestação serviço,,0.0,
Estopas uso prestação serviço,,0.0,
Estopas uso prestação serviço,,0.0,
Estopas uso prestação serviço,,0.0,
"Cortesia, Brindes a clientes",,0.0,
Percentual em relação as compras de fornecedores c/ Faturamento total,,0.0,
Percentual em relação as compras de fornecedores c/ Faturamento total,,0.0,
Percentual em relação as compras de fornecedores c/ Faturamento total,,0.0,
Percentual em relação as compras de fornecedores c/ Faturamento total,,0.0,
Percentual em relação as compras de fornecedores c/ Faturamento total,,0.0,
Percentual em relação as compras de fornecedores c/ Faturamento total,,0.0,
Percentual em relação as compras de fornecedores c/ Faturamento total,,0.0,
Percentual em relação as compras de fornecedores c/ Faturamento total,,0.0,
água,,0.0,
água,,0.0,
água,,0.0,
água,,0.0,
água,,0.0,
água,,0.0,
água,,0.0,
água,,0.0,
lanches/refeições,,0.0,
lanches/refeições,,0.0,
lanches/refeições,,0.0,
lanches/refeições,,0.0,
lanches/refeições,,0.0,
lanches/refeições,,0.0,
lanches/refeições,,0.0,
lanches/refeições,,0.0,
aluguel,,0.0,
aluguel,,0.0,
aluguel,,0.0,
aluguel,,0.0,
aluguel,,0.0,
aluguel,,0.0,
aluguel,,0.0,
aluguel,,0.0,
aluguel,,0.0,
Energia,,0.0,
Energia,,0.0,
Energia,,0.0,
Energia,,0.0,
Energia,,0.0,
Energia,,0.0,
Energia,,0.0,
Salários,,0.0,
Salários,,0.0,
Salários,,0.0,
Salários,,0.0,
Salários,,0.0,
Salários,,0.0,
Salários,,0.0,
Salários,,0.0,
Comissões vendedor,,0.0,
FGTS,,0.0,
FGTS,,0.0,
FGTS,,0.0,
FGTS,,0.0,
FGTS,,0.0,
FGTS,,0.0,
FGTS,,0.0,
Vale alimentação funcionarios,,0.0,
Vale alimentação funcionarios,,0.0,
Vale alimentação funcionarios,,0.0,
Vale alimentação funcionarios,,0.0,
Vale alimentação funcionarios,,0.0,
Vale alimentação funcionarios,,0.0,
Unimed Sócios,,0.0,
Unimed Sócios,,0.0,
Unimed Sócios,,0.0,
Unimed Sócios,,0.0,
Unimed Sócios,,0.0,
Unimed Sócios,,0.0,
Unimed Sócios,,0.0,
Unimed Sócios,,0.0,
Unimed Sócios,,0.0,
Plano Odonto - Amil Dental,,0.0,
Plano Odonto - Amil Dental,,0.0,
Plano Odonto - Amil Dental,,0.0,
Plano Odonto - Amil Dental,,0.0,
Plano Odonto - Amil Dental,,0.0,
Plano Odonto - Amil Dental,,0.0,
Plano Odonto - Amil Dental,,0.0,
Plano Odonto - Amil Dental,,0.0,
